time,lat,lon,elevation,accuracy,speed
2014-11-06T08:07:38Z,50.087200,19.955744,257.607267,8.000000,0.000000
2014-11-06T08:07:41Z,50.087200,19.955744,257.343960,12.000000,0.000000
2014-11-06T08:07:43Z,50.087200,19.955744,257.303357,8.000000,0.000000
2014-11-06T08:07:45Z,50.087181,19.955728,257.073903,12.000000,1.345812
2014-11-06T08:07:52Z,50.087126,19.955663,256.942352,6.000000,0.000000
2014-11-06T08:07:55Z,50.087126,19.955663,256.968950,6.000000,0.000000
2014-11-06T08:07:58Z,50.087126,19.955663,257.016195,8.000000,0.000000
2014-11-06T08:08:01Z,50.087126,19.955663,257.080411,4.000000,0.000000
2014-11-06T08:08:04Z,50.087126,19.955663,257.129531,4.000000,0.000000
2014-11-06T08:08:07Z,50.087079,19.955607,258.221725,8.000000,4.401155
2014-11-06T08:08:10Z,50.086960,19.955454,259.335478,6.000000,6.151909
2014-11-06T08:08:13Z,50.086772,19.955250,259.024179,8.000000,8.242834
2014-11-06T08:08:16Z,50.086565,19.955014,258.267219,8.000000,10.072129
2014-11-06T08:08:19Z,50.086336,19.954771,257.622453,8.000000,9.370677
2014-11-06T08:08:22Z,50.086109,19.954539,256.678558,12.000000,8.576393
2014-11-06T08:08:25Z,50.085873,19.954353,257.594762,8.000000,9.887010
2014-11-06T08:08:28Z,50.085620,19.954155,257.803948,8.000000,9.246412
2014-11-06T08:08:31Z,50.085399,19.953993,258.357545,8.000000,8.752598
2014-11-06T08:08:33Z,50.085240,19.953878,258.989233,6.000000,9.290549
2014-11-06T08:08:35Z,50.085070,19.953765,260.216840,6.000000,10.364126
2014-11-06T08:08:36Z,50.084980,19.953702,260.701987,6.000000,10.818201
2014-11-06T08:08:39Z,50.084698,19.953496,260.682620,6.000000,11.596744
2014-11-06T08:08:42Z,50.084405,19.953278,259.990229,8.000000,11.546927
2014-11-06T08:08:45Z,50.084138,19.953070,260.825423,8.000000,10.123727
2014-11-06T08:08:48Z,50.083941,19.952919,260.876009,8.000000,6.183202
2014-11-06T08:08:52Z,50.083803,19.952804,261.571793,6.000000,1.754575
2014-11-06T08:08:55Z,50.083791,19.952795,261.555280,8.000000,0.000000
2014-11-06T08:08:58Z,50.083791,19.952795,261.518440,4.000000,0.000000
2014-11-06T08:09:01Z,50.083791,19.952795,261.477769,4.000000,0.000000
2014-11-06T08:09:04Z,50.083791,19.952795,261.438138,4.000000,0.000000
2014-11-06T08:09:07Z,50.083791,19.952795,261.403014,8.000000,0.000000
2014-11-06T08:09:10Z,50.083791,19.952795,261.373054,4.000000,0.000000
2014-11-06T08:09:13Z,50.083791,19.952795,261.346907,6.000000,0.000000
2014-11-06T08:09:16Z,50.083791,19.952795,261.329394,4.000000,0.000000
2014-11-06T08:09:17Z,50.083791,19.952795,261.325437,6.000000,0.000000
2014-11-06T08:09:20Z,50.083791,19.952795,261.319472,6.000000,0.000000
2014-11-06T08:09:22Z,50.083791,19.952795,261.312348,6.000000,0.000000
2014-11-06T08:09:23Z,50.083791,19.952795,261.308756,6.000000,0.000000
2014-11-06T08:09:29Z,50.083791,19.952795,261.291163,6.000000,0.000000
2014-11-06T08:09:30Z,50.083791,19.952795,261.289052,6.000000,0.000000
2014-11-06T08:09:32Z,50.083790,19.952792,261.276878,6.000000,0.429726
2014-11-06T08:09:35Z,50.083703,19.952722,261.244321,6.000000,5.124517
2014-11-06T08:09:36Z,50.083661,19.952689,261.318966,4.000000,5.299890
2014-11-06T08:09:39Z,50.083451,19.952525,261.301258,4.000000,9.943603
2014-11-06T08:09:42Z,50.083166,19.952310,260.272073,4.000000,11.671814
2014-11-06T08:09:45Z,50.082846,19.952088,259.762999,6.000000,12.878738
2014-11-06T08:09:48Z,50.082496,19.951857,259.245634,4.000000,14.458106
2014-11-06T08:09:54Z,50.081720,19.951360,260.827907,6.000000,16.075174
2014-11-06T08:10:01Z,50.080680,19.950665,265.146139,6.000000,17.129536
2014-11-06T08:10:04Z,50.080280,19.950383,264.876619,6.000000,15.607604
2014-11-06T08:10:06Z,50.080029,19.950204,264.838265,4.000000,15.240854
2014-11-06T08:10:07Z,50.079903,19.950113,264.814494,6.000000,15.335799
2014-11-06T08:10:09Z,50.079641,19.949923,264.799423,4.000000,16.585587
2014-11-06T08:10:11Z,50.079367,19.949726,265.389283,4.000000,16.737555
2014-11-06T08:10:12Z,50.079227,19.949625,265.579702,4.000000,17.046822
2014-11-06T08:10:15Z,50.078799,19.949311,265.938387,4.000000,17.476023
2014-11-06T08:10:19Z,50.078250,19.948936,264.998566,6.000000,16.187857
2014-11-06T08:10:22Z,50.077848,19.948650,263.965116,6.000000,16.436991
2014-11-06T08:10:26Z,50.077237,19.948200,262.229222,6.000000,20.232557
2014-11-06T08:10:29Z,50.076737,19.947813,261.317865,4.000000,20.949314
2014-11-06T08:10:32Z,50.076225,19.947403,261.517878,4.000000,21.051283
2014-11-06T08:10:35Z,50.075699,19.946995,261.289105,6.000000,21.673496
2014-11-06T08:10:38Z,50.075166,19.946649,260.784103,6.000000,21.793833
2014-11-06T08:10:41Z,50.074630,19.946336,260.718345,6.000000,21.245735
2014-11-06T08:10:45Z,50.074021,19.945754,262.097001,6.000000,19.649670
2014-11-06T08:10:47Z,50.073785,19.945389,262.675539,8.000000,18.420973
2014-11-06T08:10:50Z,50.073505,19.944781,262.463505,4.000000,17.490705
2014-11-06T08:10:54Z,50.073238,19.943841,261.308984,8.000000,19.085268
2014-11-06T08:10:56Z,50.073149,19.943112,261.152608,8.000000,17.218014
2014-11-06T08:10:58Z,50.073142,19.942644,260.667667,6.000000,16.610418
2014-11-06T08:11:00Z,50.073165,19.942196,259.655564,6.000000,15.905381
2014-11-06T08:11:03Z,50.073240,19.941540,258.627216,8.000000,15.914138
2014-11-06T08:11:06Z,50.073331,19.940919,258.319946,6.000000,14.976885
2014-11-06T08:11:10Z,50.073441,19.940162,259.238400,8.000000,13.368546
2014-11-06T08:11:13Z,50.073513,19.939647,259.084731,6.000000,12.689489
2014-11-06T08:11:15Z,50.073569,19.939296,259.224694,6.000000,13.019986
2014-11-06T08:11:16Z,50.073597,19.939117,259.513994,6.000000,13.135767
2014-11-06T08:11:20Z,50.073694,19.938448,260.866049,8.000000,11.464510
2014-11-06T08:11:24Z,50.073779,19.937824,260.937994,8.000000,11.705567
2014-11-06T08:11:25Z,50.073802,19.937661,261.105590,8.000000,11.829520
2014-11-06T08:11:27Z,50.073845,19.937317,261.220352,6.000000,12.142571
2014-11-06T08:11:31Z,50.073892,19.936678,260.558987,6.000000,10.633617
2014-11-06T08:11:34Z,50.073871,19.936262,259.831123,8.000000,9.744749
2014-11-06T08:11:37Z,50.073831,19.935880,259.081711,6.000000,9.165995
2014-11-06T08:11:40Z,50.073787,19.935462,259.040052,8.000000,11.059645
2014-11-06T08:11:43Z,50.073737,19.934993,259.389348,12.000000,10.642394
2014-11-06T08:11:46Z,50.073702,19.934676,260.112682,16.000000,7.112995
2014-11-06T08:11:48Z,50.073685,19.934490,260.550499,12.000000,5.962420
2014-11-06T08:11:49Z,50.073682,19.934431,260.570177,12.000000,3.898763
2014-11-06T08:11:52Z,50.073670,19.934285,260.604524,12.000000,3.191125
2014-11-06T08:11:59Z,50.073515,19.933492,260.030151,12.000000,9.922703
2014-11-06T08:12:01Z,50.073428,19.933108,259.206605,12.000000,11.396219
2014-11-06T08:12:02Z,50.073381,19.932915,259.067885,12.000000,13.014691
2014-11-06T08:12:09Z,50.072993,19.931808,258.739633,8.000000,12.989277
2014-11-06T08:12:12Z,50.072800,19.931383,259.544383,8.000000,13.212222
2014-11-06T08:12:15Z,50.072580,19.930969,259.357463,6.000000,12.649990
2014-11-06T08:12:24Z,50.071951,19.929786,261.411018,8.000000,12.771440
2014-11-06T08:12:27Z,50.071715,19.929363,260.162497,8.000000,10.355043
2014-11-06T08:12:30Z,50.071596,19.929143,258.051588,12.000000,3.761879
2014-11-06T08:12:36Z,50.071575,19.929108,258.028244,8.000000,0.763341
2014-11-06T08:12:38Z,50.071575,19.929108,258.039609,8.000000,0.000000
2014-11-06T08:12:45Z,50.071575,19.929108,258.126149,8.000000,0.000000
2014-11-06T08:12:52Z,50.071575,19.929108,258.151664,12.000000,0.000000
2014-11-06T08:12:53Z,50.071575,19.929108,258.145730,12.000000,0.000000
2014-11-06T08:13:00Z,50.071575,19.929108,258.078041,6.000000,0.000000
2014-11-06T08:13:12Z,50.071575,19.929108,257.966082,16.000000,0.000000
2014-11-06T08:13:19Z,50.071575,19.929108,257.809631,16.000000,0.000000
2014-11-06T08:13:25Z,50.071573,19.929110,257.818804,12.000000,0.000000
2014-11-06T08:13:32Z,50.071292,19.928604,257.633959,8.000000,13.496714
2014-11-06T08:13:36Z,50.070861,19.927860,256.502582,12.000000,14.992132
2014-11-06T08:13:43Z,50.070063,19.926878,255.185663,8.000000,14.182977
2014-11-06T08:13:50Z,50.069329,19.926378,253.481780,8.000000,11.423103
2014-11-06T08:13:56Z,50.068661,19.925852,249.598862,12.000000,15.797990
2014-11-06T08:14:02Z,50.067922,19.925360,248.425559,12.000000,14.124382
2014-11-06T08:14:06Z,50.067451,19.925071,249.080280,8.000000,13.663887
2014-11-06T08:14:09Z,50.067107,19.924862,250.555563,8.000000,13.335140
2014-11-06T08:14:10Z,50.066995,19.924800,250.258408,8.000000,13.038057
2014-11-06T08:14:13Z,50.066673,19.924634,249.020317,8.000000,12.518492
2014-11-06T08:14:16Z,50.066413,19.924506,248.955561,8.000000,7.565702
2014-11-06T08:14:17Z,50.066342,19.924473,249.177071,6.000000,7.574690
2014-11-06T08:14:21Z,50.066203,19.924419,249.666668,12.000000,0.643273
2014-11-06T08:14:25Z,50.066194,19.924417,250.041538,6.000000,0.283842
2014-11-06T08:14:32Z,50.066194,19.924417,250.127583,8.000000,0.000000
2014-11-06T08:14:35Z,50.066189,19.924413,250.102174,6.000000,0.508594
2014-11-06T08:14:38Z,50.066188,19.924411,250.099867,8.000000,0.000000
2014-11-06T08:14:40Z,50.066188,19.924411,250.101449,6.000000,0.000000
2014-11-06T08:14:48Z,50.066188,19.924411,250.073902,6.000000,0.000000
2014-11-06T08:14:51Z,50.066188,19.924411,250.080372,6.000000,0.000000
2014-11-06T08:14:54Z,50.066188,19.924411,250.109278,6.000000,0.000000
2014-11-06T08:14:57Z,50.066128,19.924372,250.256274,6.000000,2.451736
2014-11-06T08:15:03Z,50.066058,19.924268,250.492261,6.000000,0.721040
2014-11-06T08:15:06Z,50.066048,19.924230,250.498617,8.000000,1.063870
2014-11-06T08:15:09Z,50.066046,19.924194,250.700061,6.000000,0.474178
